row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202405241509_EB_dbgi_002744_01_01.mzML Peak height,
1,198.93997163613483,0.5039581,,,,,,,,,,,460066.62,
2,216.95052903515563,0.5039581,,,,,,,,,,,398230.34,
3,239.96643119838083,0.5039581,,,,,,,,,,,484556.7,
4,241.99944316509058,0.5039581,,,,,,,,,,,1370606.9,
5,265.0153599759864,0.5039581,,,,,,,,,,,453498.3,
6,189.15953456957487,0.5204143,,,,,,,,,,,422906.62,
7,236.90464733889056,0.5429265,,,,,,,,,,,538902.6,
8,320.86596840681625,0.5429265,,,,,,,,,,,1103702.2,
9,336.84341855359116,0.5429265,,,,,,,,,,,388078.3,
10,122.92463011632537,0.561543,,,,,,,,,,,1006575.44,
11,206.88576705646184,0.561543,,,,,,,,,,,1347416.2,
12,208.8837767970577,0.561543,,,,,,,,,,,280461.9,
13,290.8469595936537,0.561543,,,,,,,,,,,2247081.8,
14,292.8449584262683,0.561543,,,,,,,,,,,647115.8,
15,181.9613963080574,0.57314914,,,,,,,,,,,457539.84,
16,251.03048254596226,0.57314914,,,,,,,,,,,752632.3,
17,208.9723751793406,0.5781574,,,,,,,,,,,1176359.5,
18,213.07463418824068,0.5781574,,,,,,,,,,,1819001.2,
19,222.98788608911954,0.5781574,,,,,,,,,,,266838.94,
20,296.0656547893422,0.58960116,,,,,,,,,,,1298999.8,
21,465.04057622081694,0.58960116,,,,,,,,,,,332073.5,
22,145.1698412093245,0.6010198,,,,,,,,,,,345646.2,
23,171.01655185506357,0.6010198,,,,,,,,,,,547323.94,
24,219.02630343393744,0.6010198,,,,,,,,,,,1715601.1,
25,249.0364213483778,0.6010198,,,,,,,,,,,653939.3,
26,323.07352261276554,0.6010198,,,,,,,,,,,321268.78,
27,175.11886545145583,0.612251,,,,,,,,,,,1.6242126E7,
28,214.05866625697544,0.612251,,,,,,,,,,,433166.38,
29,293.0629524325378,0.612251,,,,,,,,,,,985518.1,
30,156.0766852308462,0.62358004,,,,,,,,,,,500750.88,
31,351.0683630121499,0.62358004,,,,,,,,,,,462496.2,
33,381.0790215336932,0.62358004,,,,,,,,,,,1.5830935E7,
35,543.1319912404273,0.62358004,,,,,,,,,,,340314.72,
37,130.0499429141487,0.63482165,,,,,,,,,,,1889517.0,
38,133.0607794917411,0.63482165,,,,,,,,,,,1580153.9,
39,147.07632741795481,0.63482165,,,,,,,,,,,1500571.4,
40,148.06032490044515,0.63482165,,,,,,,,,,,2642667.0,
41,176.10291715476234,0.63482165,,,,,,,,,,,685834.25,
42,258.1097009625975,0.63482165,,,,,,,,,,,1127169.1,
43,263.0160841454492,0.63482165,,,,,,,,,,,631318.8,
44,132.10191568741655,0.646232,,,,,,,,,,,573523.56,
45,174.08725909685475,0.646232,,,,,,,,,,,471240.72,
46,210.94033247523075,0.646232,,,,,,,,,,,456557.0,
47,337.0893435521097,0.646232,,,,,,,,,,,597693.5,
48,198.0970592957112,0.6576382,,,,,,,,,,,292149.44,
49,335.07358079380066,0.6576382,,,,,,,,,,,512595.25,
50,130.0863373230191,0.6690881,,,,,,,,,,,3610843.2,
